Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,9.917313,9.771513,9.100833,9.310785,9.487203,9.345777,8.965239,9.558645,9.495951,9.530943,8.928789,9.271419,9.583431,9.656331,9.678201,8.325177,9.694239,9.767139,9.156237,9.259755,9.826917,9.794841,9.789009,8.858805,9.824001,9.857535,9.316617,9.402639,9.506157,9.653415,9.332655,8.764035,9.805047,9.207267,8.596365,8.307681,9.586347,9.672369,8.850057,9.686949,9.418677,10.041243,9.045429,9.217473,3.054509,2.764367,2.812481,2.684177
2,9.943557,9.762765,9.095001,9.313701,9.511989,9.319533,8.966697,9.554271,9.476997,9.544065,8.968155,9.307869,9.590721,9.697155,9.719025,8.352879,9.719025,9.797757,9.163527,9.300579,9.869199,9.809421,9.797757,8.892339,9.770055,9.847329,9.297663,9.386601,9.570309,9.700071,9.402639,8.806317,9.835665,9.226221,8.610945,8.323719,9.618423,9.698613,8.873385,9.702987,9.450753,10.080609,9.051261,9.159153,3.072005,2.776031,2.841641,2.700215
3,9.904191,9.685491,9.019185,9.234969,9.440547,9.306411,8.904003,9.491577,9.398265,9.507615,8.922957,9.259755,9.491577,9.685491,9.669453,8.301849,9.667995,9.745269,9.135825,9.285999,9.810879,9.768597,9.743811,8.851515,9.697155,9.784635,9.243717,9.345777,9.507615,9.667995,9.367647,8.778615,9.800673,9.189771,8.591991,8.301849,9.576141,9.666537,8.850057,9.697155,9.418677,10.058739,9.013353,9.129993,3.060341,2.771657,2.840183,2.694383
4,9.812337,9.605301,8.946285,9.137283,9.339945,9.237885,8.828187,9.395349,9.303495,9.479913,8.841309,9.210183,9.389517,9.657789,9.606759,8.319345,9.605301,9.678201,9.113955,9.259755,9.735063,9.720483,9.663621,8.785905,9.630087,9.727773,9.175191,9.269961,9.434715,9.624255,9.325365,8.742165,9.742353,9.131451,8.555541,8.291643,9.519279,9.615507,8.815065,9.649041,9.370563,10.003335,8.984193,9.086253,3.067631,2.780405,2.850389,2.692925
5,9.713193,9.542607,8.960865,9.159153,9.271419,9.131451,8.769867,9.326823,9.261213,9.444921,8.788821,9.156237,9.271419,9.616965,9.522195,8.351421,9.517821,9.592179,9.061467,9.233511,9.644667,9.654873,9.577599,8.749455,9.542607,9.656331,9.078963,9.207267,9.347235,9.536775,9.245175,8.670723,9.675285,9.046887,8.520549,8.275605,9.436173,9.525111,8.743623,9.608217,9.325365,9.931893,8.931705,9.041055,3.073463,2.774573,2.853305,2.697299
6,9.716109,9.535317,8.953575,9.156237,9.262671,9.115413,8.765493,9.290373,9.252465,9.347235,8.775699,9.036681,9.185397,9.498867,9.487203,8.358711,9.485745,9.571767,9.000231,9.178107,9.593637,9.584889,9.536775,8.740707,9.436173,9.541149,9.014811,9.112497,9.249549,9.479913,9.194145,8.602197,9.583431,8.979819,8.441817,8.202705,9.350151,9.443463,8.680929,9.503241,9.217473,9.825459,8.829645,8.946285,3.064715,2.781863,2.844557,2.694383
7,9.727773,9.563019,8.973987,9.185397,9.278709,9.143115,8.787363,9.315159,9.274335,9.277251,8.796111,9.016269,9.197061,9.450753,9.504699,8.379123,9.506157,9.598011,9.016269,9.118329,9.606759,9.614049,9.567393,8.755287,9.439089,9.539691,9.032307,9.077505,9.259755,9.493035,9.214557,8.610945,9.579057,8.979819,8.437443,8.186667,9.350151,9.468249,8.696967,9.411387,9.185397,9.771513,8.772783,8.918583,3.074921,2.780405,2.847473,2.701673
8,9.758391,9.557187,8.988567,9.189771,9.290373,9.146031,8.799027,9.325365,9.293289,9.271419,8.803401,9.023559,9.197061,9.460959,9.533859,8.411199,9.520737,9.621339,9.026475,9.134367,9.633003,9.616965,9.590721,8.761119,9.444921,9.549897,9.041055,9.112497,9.268503,9.511989,9.220389,8.615319,9.583431,9.010437,8.450565,8.202705,9.367647,9.487203,8.702799,9.424509,9.186855,9.789009,8.768409,8.934621,3.064715,2.780405,2.846015,2.692925
9,9.762765,9.573225,8.988567,9.199977,9.293289,9.159153,8.809233,9.347235,9.296205,9.287457,8.796111,9.027933,9.194145,9.481371,9.536775,8.403909,9.536775,9.622797,9.043971,9.146031,9.622797,9.640293,9.611133,8.765493,9.449295,9.551355,9.051261,9.099375,9.280167,9.520737,9.233511,8.615319,9.602385,9.013353,8.456397,8.201247,9.388059,9.481371,8.724669,9.428883,9.198519,9.787551,8.781531,8.924415,3.060341,2.787695,2.841641,2.695841
10,9.806505,9.589263,9.011895,9.217473,9.315159,9.170817,8.834019,9.361815,9.316617,9.304953,8.812149,9.035223,9.211641,9.506157,9.557187,8.424321,9.552813,9.651957,9.062925,9.167901,9.653415,9.663621,9.638835,8.787363,9.456585,9.568851,9.068757,9.112497,9.296205,9.536775,9.258297,8.635731,9.622797,9.045429,8.476809,8.230407,9.409929,9.510531,8.742165,9.462417,9.201435,9.802131,8.797569,8.952117,3.074921,2.783321,2.853305,2.697299
