Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,8.708528,8.805887,8.894527,9.583304,9.222931,8.949745,9.519367,8.898886,9.023854,8.644591,9.605101,9.427821,9.282509,9.605101,9.506289,10.035224,9.144463,9.451071,8.377218,8.692544,9.225838,9.118307,9.464149,9.355165,8.731778,9.50193,9.391493,9.512102,9.035479,8.891621,9.448164,9.363884,9.052917,8.797168,9.262166,9.266525,8.951199,9.022401,8.487654,8.935214,8.659122,9.127026,9.503383,8.595185,8.430983,9.331915,9.298493,8.818965
2,8.698356,8.776825,8.87709,9.549883,9.236009,8.983167,9.50193,8.879996,9.07326,8.666388,9.577492,9.407477,9.259259,9.615273,9.465602,10.026505,9.160447,9.459789,8.414999,8.720153,9.262166,9.124119,9.453977,9.346446,8.743403,9.491758,9.39004,9.533898,9.036932,8.897433,9.433633,9.394399,9.093604,8.83059,9.246181,9.247634,8.96137,9.025308,8.515264,8.929402,8.678013,9.122666,9.545523,8.615529,8.502186,9.378415,9.313025,8.856746
3,8.650403,8.721606,8.824777,9.487399,9.23165,8.977355,9.480133,8.858199,9.051464,8.627154,9.535351,9.401665,9.220025,9.562961,9.419102,9.987271,9.103776,9.40893,8.377218,8.683825,9.237463,9.07762,9.416196,9.29704,8.740497,9.464149,9.359524,9.510649,9.042745,8.898886,9.424915,9.321743,9.063089,8.802981,9.250541,9.206947,8.957011,8.996245,8.477483,8.917777,8.663481,9.111041,9.52082,8.563216,8.478936,9.331915,9.269431,8.80734
4,8.590826,8.64895,8.733231,9.395852,9.198228,8.917777,9.430727,8.814606,9.020948,8.603904,9.417649,9.336275,9.10087,9.471414,9.275244,9.910256,9.009323,9.305759,8.276952,8.599544,9.18515,9.003511,9.359524,9.199682,8.702716,9.395852,9.286869,9.456883,8.999151,8.823324,9.350806,9.270884,9.050011,8.775371,9.201135,9.125573,8.903246,8.898886,8.369952,8.855293,8.618435,9.058729,9.496117,8.49492,8.458592,9.298493,9.236009,8.769559
5,8.484748,8.553045,8.637325,9.279603,9.140104,8.811699,9.378415,8.757934,8.936667,8.531248,9.310118,9.282509,8.999151,9.340634,9.186603,9.868115,8.91923,9.176432,8.230453,8.492014,9.116854,8.891621,9.260712,9.068901,8.678013,9.294134,9.151729,9.359524,8.920683,8.752122,9.230197,9.157541,9.003511,8.730325,9.109588,9.025308,8.824777,8.782637,8.314734,8.76084,8.51817,8.94248,9.406024,8.396108,8.378671,9.196775,9.228744,8.7187
6,8.45278,8.545779,8.605357,9.236009,9.10087,8.768106,9.289775,8.662028,8.859652,8.470217,9.337728,9.224385,9.000605,9.307212,9.199682,9.792553,8.909058,9.179338,8.223187,8.505092,9.044198,8.827684,9.151729,9.070354,8.612622,9.177885,9.115401,9.256353,8.891621,8.654763,9.141557,9.113948,8.955558,8.657669,9.000605,8.96137,8.724512,8.78409,8.326358,8.708528,8.510904,8.862558,9.288322,8.399014,8.33653,9.109588,9.199682,8.641685
7,8.42517,8.51381,8.592279,9.224385,8.977355,8.74195,9.161901,8.618435,8.78409,8.393202,9.339181,9.071807,8.98898,9.27815,9.206947,9.65596,8.89598,9.16626,8.227547,8.490561,8.959917,8.813153,9.122666,9.089245,8.505092,9.163354,9.115401,9.209853,8.897433,8.632966,9.129932,9.099416,8.87273,8.542873,8.974448,8.939574,8.715794,8.776825,8.326358,8.709981,8.497826,8.850934,9.224385,8.399014,8.31328,9.109588,9.138651,8.632966
8,8.422264,8.534154,8.593732,9.250541,8.906152,8.755028,9.141557,8.638779,8.78845,8.397561,9.344993,9.061635,9.010776,9.291228,9.225838,9.631257,8.909058,9.177885,8.240625,8.502186,8.977355,8.852387,9.135744,9.111041,8.505092,9.176432,9.11976,9.234556,8.925042,8.65331,9.145916,9.121213,8.840762,8.555951,8.997698,8.94248,8.7187,8.781184,8.343796,8.733231,8.507998,8.864012,9.234556,8.413545,8.324905,9.124119,9.065995,8.638779
9,8.42953,8.550138,8.615529,9.281056,8.916324,8.756481,9.151729,8.660575,8.801528,8.409186,9.36679,9.070354,9.038386,9.318837,9.240369,9.642882,8.936667,9.173525,8.263874,8.522529,9.000605,8.874183,9.167713,9.141557,8.519623,9.217119,9.137198,9.251994,8.938121,8.673653,9.167713,9.141557,8.845121,8.555951,9.018042,8.968636,8.727419,8.798621,8.345249,8.74195,8.522529,8.868371,9.244728,8.412092,8.339436,9.135744,9.002058,8.659122
10,8.419358,8.539967,8.599544,9.286869,8.911964,8.743403,9.128479,8.646044,8.798621,8.399014,9.369696,9.060182,9.036932,9.302853,9.221478,9.639976,8.914871,9.158994,8.258062,8.516717,8.994792,8.909058,9.158994,9.145916,8.515264,9.205494,9.14301,9.246181,8.949745,8.656216,9.174979,9.128479,8.843668,8.547232,9.03112,8.954105,8.725966,8.782637,8.346702,8.720153,8.509451,8.87273,9.250541,8.410639,8.332171,9.150276,8.98462,8.643138
