replicateID,stationID,collectorName,replicateName,collectionDate,collectionTime,storageID,DateOfStorage,methodOfStorage,minimumElevationInMeters,maximumElevationInMeters,verbatimElevation,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,flowRate(m/s),filterType,filtrationDuration(mins),volumeFiltered,processLocation,replicationNumber,riparianVegetationPercentageCover,dissolvedOxygen(mg/L),waterTemperature(C),pH,TSS(mg/L),EC(uS/cm),turbidity(NTU),discharge,tide,chlorophyl,salinity(ppt),contaminants(ng/g),traceMetals(mg/kg),organicContent(%),microbialActivity,grainSize,replicateDataNotes
1,1,Doug Bradley,A,2019-07-31,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
2,1,Doug Bradley,F,2019-03-27,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
3,1,Doug Bradley,K,2019-04-10,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
4,1,Doug Bradley,P,2019-04-10,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
5,1,Doug Bradley,U,2019-05-08,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
6,1,Doug Bradley,Z,2019-05-22,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
7,1,Doug Bradley,EE,2019-05-22,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
8,1,Doug Bradley,JJ,2019-05-22,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
9,1,Doug Bradley,OO,2019-03-20,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
10,1,Doug Bradley,TT,2019-06-10,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
11,1,Doug Bradley,YY,2019-07-03,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
12,1,Doug Bradley,DDD,2019-07-31,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
13,1,Doug Bradley,III,2019-07-31,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
14,1,Doug Bradley,NNN,2019-07-19,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
15,2,Danielle Bourque,Control1,2020-08-02,,,,,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
16,3,Joschka McLeod,A1.1,2019-09-14,8:35:00,A1.1,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1260,E8-2,0,15,10,15,8,0,1046,0,,0,0,0,0,0,0,0,0,
17,3,Joschka McLeod,A1.2,2019-09-14,8:52:00,A1.2,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1240,E8-2,0,15,10,15,8,0,1046,0,,0,0,0,0,0,0,0,0,
18,3,Andrew Nicholson,O1.1,2019-09-14,8:35:00,O1.1,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1340,E8-2,0,15,10,15,8,0,1046,0,,0,0,0,0,0,0,0,0,
19,3,Andrew Nicholson,O1.2,2019-09-14,8:52:00,O1.2,2019-09-14,Sterile plastic bag,298,343,320,0,0,0,0,5 m pore diameter fiberglass filter,,1030,E8-2,0,15,10,15,8,0,1046,0,,0,0,0,0,0,0,0,0,
20,4,Hannah Little,A2.1,2019-09-14,10:23:00,A2.1,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1260,E8-1,0,60,8,15,8,0,1047,0,,0,0,0,0,0,0,0,0,
21,4,Hannah Little,A2.2,2019-09-14,10:24:00,A2.2,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1090,E8-1,0,60,8,15,8,0,1047,0,,0,0,0,0,0,0,0,0,
22,4,Andrew Nicholson,O2.1,2019-09-14,10:23:00,O2.1,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1010,E8-1,0,60,8,15,8,0,1047,0,,0,0,0,0,0,0,0,0,
23,4,Andrew Nicholson,O2.2,2019-09-14,10:24:00,O2.2,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,980,E8-1,0,60,8,15,8,0,1047,0,,0,0,0,0,0,0,0,0,
24,5,Kathleen Nolan,A3.1,2019-09-14,11:23:00,A3.1,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,F5-1,0,60,8,13,8,0,950,0,,0,0,0,0,0,0,0,0,
25,5,Kathleen Nolan,A3.2,2019-09-14,11:24:00,A3.2,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1050,F5-1,0,60,8,13,8,0,950,0,,0,0,0,0,0,0,0,0,
26,5,Andrew Nicholson,O3.1,2019-09-14,11:23:00,O3.1,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1200,F5-1,0,60,8,13,8,0,950,0,,0,0,0,0,0,0,0,0,
27,5,Andrew Nicholson,O3.2,2019-09-14,11:24:00,O3.2,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,980,F5-1,0,60,8,13,8,0,950,0,,0,0,0,0,0,0,0,0,
28,6,Andrew Nicholson,A4.1,2019-09-14,14:52:00,A4.1,2019-09-14,Sterile plastic bag,318,363,340,0,0,0,0,5 m pore diameter fiberglass filter,,1100,E5-1,0,60,11,15,8,0,1336,0,,0,0,0,0,0,0,0,0,
