resultID,runID,assayID,pcrChemistryID,extractID,wellLocation,sampleName,copyNumber,control,userProvidedThresholdValue,userProvidedCqValue,systemCalculatedThresholdValue,systemCalculatedCqValue,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35,Cycle_Number36,Cycle_Number37,Cycle_Number38,Cycle_Number39,Cycle_Number40,Cycle_Number41,Cycle_Number42,Cycle_Number43,Cycle_Number44,Cycle_Number45,Cycle_Number46,Cycle_Number47,Cycle_Number48,Cycle_Number49,Cycle_Number50,Cycle_Number51,Cycle_Number52,Cycle_Number53,Cycle_Number54,Cycle_Number55,Cycle_Number56,Cycle_Number57,Cycle_Number58,Cycle_Number59,Cycle_Number60,Cycle_Number61,Cycle_Number62,Cycle_Number63,Cycle_Number64,Cycle_Number65,Cycle_Number66,Cycle_Number67,Cycle_Number68,Cycle_Number69,Cycle_Number70
2,1,1,1,1,3,A,,,9.31,33.26036,9.561586,34.83476115,9.159009,9.154236,9.084222,8.982385,8.942605,8.955334,8.942605,8.944196,8.982385,8.979203,8.960108,8.960108,8.98875,8.993523,8.991932,9.011027,9.023756,9.031713,9.018983,9.023756,9.033304,9.06831,9.04126,9.052398,9.01285433,9.012798983,9.079449,9.088996,9.090587,9.116047,9.139915,9.174921,9.265621,9.357911,9.561586,9.863916,10.285587,10.81546,11.451944,12.139347,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,1,1,1,4,A,,,9.31,11.261702,9.832092,36.80240498,9.521805,9.494755,9.421559,9.308583,9.209928,9.232205,9.229023,9.246526,9.271985,9.284715,9.256073,9.267212,9.300627,9.310174,9.322904,9.349955,9.361093,9.362684,9.35632,9.364276,9.377005,9.405647,9.375414,9.404056,9.351125094,9.352433355,9.432698,9.443836,9.431106,9.453383,9.461339,9.477252,9.52817,9.531353,9.59341,9.688883,9.832092,10.035767,10.312637,10.627697,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,1,1,1,5,A,,,9.31,35.00476,9.601366,36.8098608,9.229023,9.27835,9.23857,9.197198,9.08104,9.031713,9.039669,9.060354,9.069902,9.082631,9.058763,9.050807,9.065128,9.066719,9.071493,9.079449,9.084222,9.073084,9.065128,9.060354,9.076266,9.088996,9.063537,9.079449,9.029769547,9.024511628,9.095361,9.112864,9.095361,9.128776,9.124003,9.138324,9.195607,9.206746,9.284715,9.405647,9.601366,9.870281,10.225121,10.649974,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,1,1,2,6,F,,,9.31,24.975439,9.504302,30.62797884,9.451792,9.450201,9.367458,9.279941,9.165374,9.182878,9.190834,9.206746,9.19879,9.201972,9.184469,9.184469,9.197198,9.205154,9.211519,9.206746,9.219475,9.222658,9.213111,9.219475,9.244935,9.262438,9.243344,9.267212,9.190038098,9.185980516,9.306992,9.321313,9.341999,9.404056,9.504302,9.704795,10.088276,10.59269,11.276911,12.06456,12.906311,13.784659,14.690058,15.589092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,1,1,2,7,F,,,9.31,35.042022,8.66096,32.845363,8.374542,8.379316,8.328397,8.248837,8.196327,8.21383,8.22656,8.237698,8.240881,8.252019,8.250428,8.25361,8.275887,8.282252,8.287026,8.290208,8.301347,8.312485,8.301347,8.304529,8.320441,8.336353,8.315668,8.33158,8.30742333,8.309145303,8.353857,8.361813,8.369769,8.392046,8.430235,8.501839,8.66096,8.877365,9.241752,9.704795,10.261718,10.880699,11.53787,12.214134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,1,1,2,8,F,,,9.31,30.406195,9.806632,32.85830234,9.197198,9.230614,9.203563,9.127185,9.047625,8.990341,8.993523,8.999888,9.006253,9.023756,9.020574,9.011027,9.046033,9.049216,9.052398,9.071493,9.084222,9.09377,9.084222,9.098543,9.112864,9.138324,9.127185,9.135141,9.078238014,9.078013862,9.17333,9.189242,9.200381,9.249708,9.337225,9.48839,9.806632,10.241033,10.858423,11.588788,12.401897,13.264333,14.169732,15.062401,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,1,1,3,9,K,,,9.31,40,10.279222,35.75958191,9.978483,9.999169,9.986439,9.945068,9.898922,9.849595,9.766852,9.650694,9.591819,9.591819,9.574315,9.569542,9.596592,9.602957,9.614096,9.637964,9.644329,9.634781,9.639555,9.644329,9.661832,9.692065,9.661832,9.690474,9.541586065,9.52783454,9.717524,9.730254,9.728663,9.760487,9.776399,9.80345,9.871872,9.925973,10.067591,10.279222,10.608602,11.070054,11.654028,12.352569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,1,1,3,10,K,,,9.31,40,9.90847,32.86684253,9.854369,9.884602,9.859142,9.833683,9.792311,9.755713,9.65865,9.567951,9.545674,9.55363,9.550447,9.55363,9.579089,9.590228,9.601366,9.610913,9.634781,9.622052,9.620461,9.625234,9.642737,9.660241,9.636373,9.653876,9.552862899,9.544134754,9.679335,9.693656,9.687291,9.715933,9.739801,9.785946,9.90847,10.045314,10.34287,10.783636,11.370792,12.097976,12.93177,13.814892,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,1,1,3,11,K,,,9.31,40,10.070773,32.98782399,10.016672,10.037358,9.968936,9.859142,9.719116,9.727072,9.727072,9.752531,9.763669,9.784355,9.776399,9.79072,9.820953,9.832092,9.849595,9.852777,9.879828,9.876645,9.867098,9.875054,9.886193,9.900514,9.878237,9.894149,9.853307725,9.853785086,9.924382,9.929155,9.927564,9.953024,9.957797,9.98803,10.070773,10.129648,10.298316,10.532224,10.869561,11.310326,11.821105,12.37962,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,1,1,4,12,P,,,9.31,21.880726,9.326087,23.34919628,9.299036,9.294262,9.208337,9.155827,9.127185,9.149462,9.147871,9.171739,9.17333,9.184469,9.179695,9.187651,9.216293,9.224249,9.236979,9.236979,9.257664,9.271985,9.271985,9.283124,9.302218,9.326087,9.313357,9.33086,9.300840442,9.306405531,9.369049,9.380188,9.378596,9.397691,9.408829,9.416786,9.451792,9.43588,9.447019,9.456566,9.466113,9.472478,9.482025,9.483616,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,1,1,4,13,P,,,9.31,22.300248,9.873463,29.81278017,9.886193,9.859142,9.782764,9.661832,9.559995,9.572724,9.587045,9.610913,9.623643,9.634781,9.631599,9.657058,9.687291,9.703203,9.715933,9.72548,9.731845,9.75094,9.73821,9.757305,9.768443,9.785946,9.774808,9.785946,9.746967286,9.750081206,9.811406,9.814588,9.817771,9.832092,9.835274,9.841639,9.873463,9.85596,9.871872,9.867098,9.879828,9.898922,9.898922,9.900514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
