SCresultID,runID,pcrChemistryID,standardCurveID,wellLocation,sampleName,copyNumber,control,standardConc,userProvidedThresholdValue,userProvidedCqValue,systemCalculatedThresholdValue,systemCalculatedCqValue,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35,Cycle_Number36,Cycle_Number37,Cycle_Number38,Cycle_Number39,Cycle_Number40,Cycle_Number41,Cycle_Number42,Cycle_Number43,Cycle_Number44,Cycle_Number45,Cycle_Number46,Cycle_Number47,Cycle_Number48,Cycle_Number49,Cycle_Number50,Cycle_Number51,Cycle_Number52,Cycle_Number53,Cycle_Number54,Cycle_Number55,Cycle_Number56,Cycle_Number57,Cycle_Number58,Cycle_Number59,Cycle_Number60,Cycle_Number61,Cycle_Number62,Cycle_Number63,Cycle_Number64,Cycle_Number65,Cycle_Number66,Cycle_Number67,Cycle_Number68,Cycle_Number69,Cycle_Number70
1,2,2,1,1,,,,5704000,9.73,18.72864964,1,0,8.472179,8.482388,8.473637,8.37592,8.282579,8.263619,8.29133,8.320499,8.273828,8.279662,8.319041,8.332167,8.370087,8.421133,8.529058,8.642818,8.914091,9.297665,9.813959,10.430887,11.21262,12.020605,12.949642,13.9166,14.912726,16.075117,17.238965,18.394064,19.660005,21.017828,22.506913,24.138927,25.994085,28.108848,30.604268,33.159485,35.529479,38.178037,41.003069,43.502865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2,2,1,2,,,,5704000,9.73,9.356948145,,0,9.857713,9.86063,9.832919,9.78479,9.663738,9.538311,9.500391,9.526643,9.490182,9.507683,9.542686,9.574772,9.62436,9.697283,9.830002,9.971473,10.308376,10.78675,11.422638,12.186869,13.139242,14.148494,15.294842,16.474734,17.698379,19.121834,20.561331,21.983327,23.539501,25.238604,27.080635,29.091848,31.346623,33.949969,36.957308,40.040487,42.926774,46.103294,49.470872,52.428623,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2,2,1,3,,,,5704000,9.73,18.40507025,,0,8.731784,8.737618,8.689489,8.626775,8.496972,8.457594,8.478012,8.492597,8.459052,8.47072,8.498431,8.515932,8.559686,8.606357,8.714282,8.816374,9.086189,9.458096,9.971473,10.595692,11.377425,12.191245,13.126116,14.100365,15.093575,16.255965,17.444608,18.599706,19.887524,21.259932,22.756309,24.383948,26.263899,28.343659,30.847831,33.39138,35.809502,38.442018,41.237881,43.707049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2,2,1,4,,,,5704000,9.73,16.49723043,,0,9.304958,9.332668,9.296207,9.250995,9.102232,9.068688,9.078897,9.109524,9.070146,9.086189,9.116817,9.140152,9.176613,9.239327,9.363296,9.494557,9.812501,10.252955,10.871341,11.602028,12.52669,13.492189,14.599158,15.74113,16.932689,18.303639,19.687715,21.089293,22.607547,24.227893,25.99846,27.984879,30.203192,32.745284,35.665115,38.650577,41.442065,44.507742,47.754268,50.599718,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2,2,1,5,,,,5704000,9.73,9.608413067,,0,9.911676,9.916051,9.904384,9.813959,9.707492,9.554354,9.547062,9.590815,9.555812,9.568938,9.603941,9.638944,9.687073,9.754163,9.883965,10.029811,10.35213,10.820295,11.463474,12.239374,13.229666,14.266629,15.46694,16.713921,18.00028,19.490824,20.984284,22.485036,24.124342,25.867199,27.77632,29.936295,32.310663,35.011726,38.135742,41.280176,44.259804,47.519456,50.964332,54.037302,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2,2,1,6,,,,570400,9.73,19.7882839,,0,9.501849,9.514976,9.477056,9.385173,9.25537,9.162029,9.169321,9.21745,9.178072,9.182447,9.19849,9.218909,9.230576,9.252453,9.281622,9.25537,9.316625,9.39684,9.528102,9.72791,10.086691,10.565065,11.234497,12.026439,12.905889,14.00119,15.15483,16.343473,17.675044,19.089748,20.644463,22.240016,23.934743,25.735938,27.865285,30.022344,32.195445,34.712743,37.50423,40.214043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2,2,1,7,,,,570400,9.73,20.27770463,,0,9.281622,9.29329,9.233493,9.115358,9.03806,9.020558,9.040977,9.080355,9.036602,9.033685,9.05702,9.049728,9.081814,9.106607,9.124109,9.100774,9.163487,9.23641,9.364754,9.561646,9.916051,10.379841,11.020103,11.781418,12.612739,13.643868,14.736253,15.881142,17.125206,18.474279,19.932736,21.443698,23.024666,24.732519,26.701436,28.763695,30.827412,33.219282,35.911594,38.512024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2,2,1,8,,,,570400,9.73,21.20397528,,0,9.035143,9.049728,9.027851,8.972429,8.861587,8.762412,8.787205,8.80179,8.753661,8.753661,8.778455,8.793039,8.804707,8.83971,8.865962,8.842627,8.898048,8.966596,9.074521,9.259745,9.579148,10.007934,10.600068,11.317629,12.122697,13.120282,14.186414,15.306509,16.530155,17.842767,19.282264,20.774266,22.337732,24.001832,25.921162,27.961544,29.933378,32.269827,34.944637,37.54215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2,2,1,9,,,,570400,9.73,22.02953298,,0,8.628233,8.625317,8.581563,8.517391,8.397797,8.35696,8.38613,8.397797,8.35696,8.364253,8.391963,8.405089,8.424049,8.429883,8.460511,8.445926,8.495514,8.566978,8.689489,8.87763,9.208699,9.636027,10.231078,10.925304,11.705578,12.657951,13.656994,14.705625,15.857806,17.096037,18.417399,19.80585,21.245348,22.804439,24.593966,26.465166,28.321783,30.475924,32.863419,35.14007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2,2,1,10,,,,570400,9.73,19.16685125,,0,9.618526,9.614151,9.552895,9.399757,9.277247,9.253912,9.278705,9.306416,9.272872,9.288915,9.326835,9.335585,9.353087,9.318084,9.323918,9.307875,9.382256,9.482889,9.638944,9.870839,10.274832,10.794043,11.502853,12.3473,13.285088,14.437269,15.634662,16.904979,18.280304,19.770847,21.3664,23.036333,24.812734,26.70727,28.868704,31.135147,33.413257,36.025354,38.946644,41.754174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
